title,score,ratings,installs,gini_coeff,popularity_index
Hair Color Changer: Change you,3.7114427,34645,7613263,0.4641901072533318,5.098954961912424
BocaBoca Toca Wednesday Addams,3.7128713,4979,4235056,0.5567052140393589,4.897106410794317
Cardboard,3.720187,160618,35726175,0.4295098912183914,5.585967370417282
CarMax: Used Cars for Sale,3.7351182,32142,5825464,0.48374408762758275,5.029247258728944
Skiibydi Toilet Merge Fight,3.7407408,185,1435215,0.4610169491525424,4.460910775121058
Crowd Evolution!,3.7482877,197666,24417777,0.4454021127615656,5.49127331695307
Lezhin Comics - Daily Releases,3.7658432,50229,9197864,0.3937463902332158,5.151350608734709
Among Us,3.7662475,13447689,570668120,0.456821263293109,6.541820122967931
Comicle Manga: Manhua & Manga,3.7692308,39,29517,0.4588235294117647,3.2563931973233915
onX Offroad: Trail Maps & GPS,3.7737002,3289,1101189,0.4303288672350792,4.462825555456485
Hello Kitty Nail Salon,3.7809494,693256,204163397,0.47189971292970384,6.172814284831328
Online Portal by AppFolio,3.783972,2905,1608829,0.4750603656433253,4.5851334821926155
Zigazoo Kids,3.7863503,4603,1843286,0.5751577115510115,4.668510854718082
Messenger Kids – The Messaging,3.795905,204933,32517758,0.4962401612265711,5.60968630032162
Toca Hair Salon 4,3.7984273,139581,44658101,0.43470322252398796,5.6680032687386195
Fishbrain - Fishing App,3.8034465,55945,8673090,0.4809667673716012,5.177049046070875
Battle Royale Chapter4 Season3,3.810484,17099,1639490,0.5737491953888466,4.683359700771075
Play Store Update Info,3.8118813,3727,541615,0.5136081918620318,4.287079736022239
Once: Perfect Match Dating App,3.8127074,47176,3034392,0.5378474062453625,4.885948951601051
Zelle,3.8224351,124195,22639964,0.5468029084233157,5.516023106263126
"WatchMaker 100,000 Watch Faces",3.844115,80774,4754796,0.49027736503219416,5.02406740071255
BioLife Plasma Services,3.8565066,18990,1620365,0.5040611008691072,4.669249741921875
Paylocity Mobile,3.8614688,42184,3371635,0.5125963157021267,4.915433605716225
Phone Tracker - Phone Locator,3.862069,387,696659,0.6680965147453084,4.327726602587114
Citizen: Local Safety Alerts,3.863297,70073,4071857,0.5053776331563624,4.984879107923732
Feeld: Meet Couples & Singles,3.8644688,24617,3012349,0.37921170255993497,4.814740563365677
FamilyKeeper Parental Control,3.871287,175,89298,0.6216867469879517,3.6776997034186873
PDF Pro - Reader & Maker,3.8715596,195,260615,0.6596858638743455,4.007431937718862
Planet Fitness Workouts,3.8717759,27917,11033866,0.49588363844803496,5.2483582064349745
MANGA Plus by SHUEISHA,3.8737543,62503,11768084,0.4282685964968459,5.264612881480882
"Warhammer 40,000: The App",3.8737864,709,139380,0.36546762589928056,3.802802557739001
"Amazon Kids+: Books, Videos…",3.873823,7992,3333222,0.4818637274549098,4.849992378290332
